날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 05월 03일,"16,200 ","16,250 ","16,300 ","15,800 ","62,493,000 ",-1.22%
2019년 05월 02일,"16,400 ","16,400 ","17,000 ","16,300 ","1,130,000 ",2.50%
2019년 04월 30일,"16,000 ","15,450 ","16,450 ","15,150 ","94,181,000 ",4.58%
2019년 04월 29일,"15,300 ","14,900 ","15,400 ","14,900 ","49,798,000 ",3.73%
2019년 04월 26일,"14,750 ","15,100 ","15,100 ","14,350 ","95,347,000 ",-3.28%
2019년 04월 25일,"15,250 ","15,250 ","16,250 ","15,200 ","99,096,000 ",1.33%
2019년 04월 24일,"15,050 ","15,600 ","15,600 ","14,800 ","60,955,000 ",-1.95%
2019년 04월 23일,"15,350 ","15,250 ","15,850 ","15,200 ","1,290,000 ",3.02%
2019년 04월 22일,"14,900 ","15,000 ","15,300 ","14,800 ","79,399,000 ",0.68%
2019년 04월 19일,"14,800 ","13,800 ","15,650 ","13,700 ","2,380,000 ",9.23%
2019년 04월 18일,"13,550 ","14,050 ","14,150 ","13,450 ","40,862,000 ",-4.24%
2019년 04월 17일,"14,150 ","13,550 ","14,250 ","13,400 ","58,913,000 ",5.20%
2019년 04월 16일,"13,450 ","13,500 ","13,700 ","13,350 ","22,107,000 ",-1.10%
2019년 04월 15일,"13,600 ","13,550 ","13,650 ","13,350 ","33,524,000 ",1.49%
2019년 04월 12일,"13,400 ","13,700 ","13,700 ","13,350 ","44,463,000 ",-1.83%
2019년 04월 11일,"13,650 ","14,050 ","14,200 ","13,550 ","54,682,000 ",0.00%
2019년 04월 10일,"13,650 ","13,500 ","14,050 ","13,450 ","39,115,000 ",0.37%
2019년 04월 09일,"13,600 ","13,950 ","13,950 ","13,550 ","41,021,000 ",-2.51%
2019년 04월 08일,"13,950 ","14,100 ","14,100 ","13,700 ","30,164,000 ",-0.36%
2019년 04월 05일,"14,000 ","13,900 ","14,150 ","13,650 ","31,767,000 ",-0.36%
2019년 04월 04일,"14,050 ","14,150 ","14,300 ","13,650 ","63,911,000 ",0.72%
2019년 04월 03일,"13,950 ","12,850 ","13,950 ","12,850 ","1,090,000 ",8.14%
2019년 04월 02일,"12,900 ","13,250 ","13,350 ","12,750 ","48,021,000 ",-0.77%
2019년 04월 01일,"13,000 ","12,500 ","13,150 ","12,500 ","46,671,000 ",4.00%
2019년 03월 29일,"12,500 ","12,700 ","12,750 ","12,250 ","19,887,000 ",-0.40%
2019년 03월 28일,"12,550 ","12,900 ","12,950 ","12,450 ","26,643,000 ",-2.33%
2019년 03월 27일,"12,850 ","12,400 ","12,900 ","12,250 ","28,418,000 ",3.21%
2019년 03월 26일,"12,450 ","12,400 ","12,600 ","12,150 ","14,478,000 ",1.22%
2019년 03월 25일,"12,300 ","12,200 ","12,600 ","12,200 ","34,986,000 ",-3.15%
2019년 03월 22일,"12,700 ","13,350 ","13,450 ","12,600 ","56,623,000 ",-2.31%
2019년 03월 21일,"13,000 ","12,850 ","13,550 ","12,800 ","1,040,000 ",2.36%
2019년 03월 20일,"12,700 ","12,600 ","12,800 ","12,400 ","19,329,000 ",0.79%
2019년 03월 19일,"12,600 ","12,850 ","12,850 ","12,550 ","13,009,000 ",-1.95%
2019년 03월 18일,"12,850 ","12,650 ","12,850 ","12,350 ","25,722,000 ",3.63%
2019년 03월 15일,"12,400 ","12,600 ","12,650 ","12,200 ","22,116,000 ",-1.20%
2019년 03월 14일,"12,550 ","12,550 ","12,800 ","12,350 ","36,872,000 ",0.80%
2019년 03월 13일,"12,450 ","12,300 ","12,550 ","12,200 ","21,350,000 ",0.81%
2019년 03월 12일,"12,350 ","11,800 ","12,500 ","11,800 ","29,862,000 ",6.01%
2019년 03월 11일,"11,650 ","11,700 ","11,800 ","11,300 ","18,961,000 ",0.00%
2019년 03월 08일,"11,650 ","11,850 ","12,000 ","11,600 ","22,531,000 ",-2.10%
2019년 03월 07일,"11,900 ","12,100 ","12,150 ","11,750 ","21,594,000 ",-0.83%
2019년 03월 06일,"12,000 ","12,100 ","12,300 ","11,950 ","17,579,000 ",-0.41%
2019년 03월 05일,"12,050 ","12,500 ","12,500 ","11,900 ","36,410,000 ",-3.98%
2019년 03월 04일,"12,550 ","12,500 ","12,850 ","12,450 ","17,896,000 ",0.80%
2019년 02월 28일,"12,450 ","12,750 ","12,850 ","12,400 ","41,593,000 ",-1.58%
2019년 02월 27일,"12,650 ","12,800 ","12,800 ","12,600 ","9,959,000 ",-0.78%
2019년 02월 26일,"12,750 ","12,650 ","12,750 ","12,600 ","12,368,000 ",1.19%
