날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 10월 11일,"80,000 ","79,800 ","80,500 ","79,400 ","1,920,000 ",1.27%
2019년 10월 10일,"79,000 ","78,900 ","79,600 ","78,100 ","4,080,000 ",-2.35%
2019년 10월 08일,"80,900 ","80,400 ","81,100 ","79,400 ","1,730,000 ",0.75%
2019년 10월 07일,"80,300 ","80,700 ","81,700 ","79,800 ","1,230,000 ",0.00%
2019년 10월 04일,"80,300 ","78,900 ","81,300 ","78,900 ","2,330,000 ",1.01%
2019년 10월 02일,"79,500 ","81,600 ","81,600 ","79,500 ","2,180,000 ",-3.05%
2019년 10월 01일,"82,000 ","81,800 ","82,500 ","81,700 ","1,330,000 ",-0.24%
2019년 09월 30일,"82,200 ","80,600 ","82,900 ","80,400 ","2,410,000 ",0.98%
2019년 09월 27일,"81,400 ","80,200 ","81,500 ","80,100 ","2,580,000 ",-2.28%
2019년 09월 26일,"83,300 ","83,000 ","83,500 ","82,500 ","1,730,000 ",1.71%
2019년 09월 25일,"81,900 ","82,200 ","82,800 ","81,500 ","1,630,000 ",-1.80%
2019년 09월 24일,"83,400 ","82,500 ","83,500 ","81,400 ","1,560,000 ",0.72%
2019년 09월 23일,"82,800 ","81,900 ","83,300 ","81,900 ","1,380,000 ",0.73%
2019년 09월 20일,"82,200 ","82,800 ","83,400 ","82,100 ","2,340,000 ",-0.60%
2019년 09월 19일,"82,700 ","80,600 ","82,700 ","80,300 ","2,870,000 ",3.12%
2019년 09월 18일,"80,200 ","80,100 ","80,600 ","79,500 ","2,350,000 ",1.01%
2019년 09월 17일,"79,400 ","80,000 ","80,400 ","79,100 ","2,030,000 ",-0.13%
2019년 09월 16일,"79,500 ","81,000 ","81,000 ","79,000 ","5,090,000 ",-3.75%
2019년 09월 11일,"82,600 ","83,400 ","84,300 ","81,300 ","3,630,000 ",-0.60%
2019년 09월 10일,"83,100 ","84,200 ","84,200 ","82,700 ","1,730,000 ",-1.42%
2019년 09월 09일,"84,300 ","83,100 ","84,600 ","82,500 ","2,480,000 ",2.93%
2019년 09월 06일,"81,900 ","84,000 ","84,000 ","81,500 ","2,420,000 ",-1.33%
2019년 09월 05일,"83,000 ","81,400 ","83,000 ","81,200 ","4,060,000 ",3.75%
2019년 09월 04일,"80,000 ","77,400 ","80,000 ","77,300 ","2,680,000 ",3.90%
2019년 09월 03일,"77,000 ","77,200 ","77,600 ","76,300 ","1,610,000 ",-0.77%
2019년 09월 02일,"77,600 ","77,000 ","78,200 ","76,500 ","1,430,000 ",0.26%
2019년 08월 30일,"77,400 ","74,600 ","78,000 ","74,600 ","3,800,000 ",5.59%
2019년 08월 29일,"73,300 ","73,500 ","74,100 ","72,000 ","2,030,000 ",0.00%
2019년 08월 28일,"73,300 ","73,500 ","73,700 ","72,500 ","1,350,000 ",0.41%
2019년 08월 27일,"73,000 ","72,500 ","73,700 ","72,500 ","2,510,000 ",1.67%
2019년 08월 26일,"71,800 ","72,600 ","73,000 ","71,500 ","2,610,000 ",-3.49%
2019년 08월 23일,"74,400 ","73,500 ","75,200 ","73,400 ","1,670,000 ",0.81%
2019년 08월 22일,"73,800 ","75,300 ","76,000 ","73,800 ","2,300,000 ",-2.64%
2019년 08월 21일,"75,800 ","75,900 ","76,900 ","75,500 ","1,890,000 ",-0.79%
2019년 08월 20일,"76,400 ","75,500 ","76,600 ","75,100 ","1,690,000 ",1.73%
2019년 08월 19일,"75,100 ","77,300 ","77,500 ","74,800 ","1,590,000 ",-1.70%
2019년 08월 16일,"76,400 ","75,800 ","76,400 ","75,100 ","2,000,000 ",-0.65%
2019년 08월 14일,"76,900 ","77,200 ","77,900 ","76,200 ","2,530,000 ",3.22%
