날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 06월 23일,"51,400 ","52,500 ","52,700 ","51,100 ","170,000 ",-1.15%
2020년 06월 22일,"52,000 ","52,100 ","52,600 ","51,800 ","6,000 ",-1.70%
2020년 06월 19일,"52,900 ","52,600 ","52,900 ","51,600 ","17,470,000 ",1.15%
2020년 06월 18일,"52,300 ","52,100 ","52,300 ","51,600 ","482,000 ",0.19%
2020년 06월 17일,"52,200 ","52,500 ","52,600 ","52,000 ","2,281,000 ",0.19%
2020년 06월 16일,"52,100 ","51,200 ","52,100 ","50,600 ","21,420,000 ",4.41%
2020년 06월 15일,"49,900 ","51,400 ","52,000 ","49,900 ","170,000 ",-4.59%
2020년 06월 12일,"52,300 ","52,100 ","52,800 ","51,500 ","26,380,000 ",-3.68%
2020년 06월 11일,"54,300 ","54,500 ","55,100 ","53,200 ","117,000 ",-1.99%
2020년 06월 10일,"55,400 ","55,200 ","55,900 ","54,900 ","658,000 ",-0.18%
2020년 06월 09일,"55,500 ","55,900 ","56,400 ","54,500 ","1,226,000 ",1.09%
2020년 06월 08일,"54,900 ","56,500 ","56,500 ","54,700 ","50,000 ",-1.08%
2020년 06월 05일,"55,500 ","54,400 ","55,900 ","54,000 ","22,400,000 ",1.65%
2020년 06월 04일,"54,600 ","55,800 ","56,900 ","54,600 ","492,000 ",0.18%
2020년 06월 03일,"54,500 ","51,800 ","55,000 ","51,700 ","473,000 ",6.03%
2020년 06월 02일,"51,400 ","51,100 ","51,500 ","50,800 ","12,000 ",0.39%
2020년 06월 01일,"51,200 ","50,800 ","51,200 ","50,600 ","3,532,000 ",0.99%
2020년 05월 29일,"50,700 ","50,000 ","50,700 ","49,700 ","26,330,000 ",0.60%
2020년 05월 28일,"50,400 ","51,000 ","51,200 ","49,950 ","243,000 ",1.00%
2020년 05월 27일,"49,900 ","48,950 ","50,000 ","48,800 ","196,000 ",1.32%
2020년 05월 26일,"49,250 ","48,700 ","49,450 ","48,600 ","1,573,000 ",0.82%
2020년 05월 25일,"48,850 ","48,750 ","48,900 ","48,450 ","122,000 ",0.21%
2020년 05월 22일,"48,750 ","49,600 ","49,800 ","48,600 ","19,290,000 ",-2.40%
2020년 05월 21일,"49,950 ","50,300 ","50,400 ","49,850 ","14,580,000 ",-0.10%
2020년 05월 20일,"50,000 ","50,000 ","50,200 ","49,800 ","12,860,000 ",-0.60%
2020년 05월 19일,"50,300 ","50,100 ","50,500 ","49,700 ","824,000 ",3.07%
2020년 05월 18일,"48,800 ","47,950 ","49,100 ","47,600 ","21,000 ",1.99%
2020년 05월 15일,"47,850 ","48,400 ","48,450 ","47,700 ","17,790,000 ",-0.31%
2020년 05월 14일,"48,000 ","47,800 ","48,100 ","47,650 ","542,000 ",-1.13%
2020년 05월 13일,"48,550 ","47,250 ","48,550 ","47,200 ","2,696,000 ",1.36%
2020년 05월 12일,"47,900 ","48,400 ","48,500 ","47,550 ","22,070,000 ",-1.03%
2020년 05월 11일,"48,400 ","48,900 ","49,250 ","48,300 ","15,940,000 ",-0.82%
2020년 05월 08일,"48,800 ","49,100 ","49,350 ","48,800 ","15,130,000 ",0.00%
2020년 05월 07일,"48,800 ","49,200 ","49,300 ","48,700 ","13,730,000 ",-0.81%
2020년 05월 06일,"49,200 ","49,000 ","49,200 ","48,500 ","18,000,000 ",1.44%
2020년 05월 04일,"48,500 ","48,900 ","49,100 ","48,500 ","25,800,000 ",-3.00%
2020년 04월 29일,"50,000 ","49,900 ","50,500 ","49,600 ","15,560,000 ",-0.20%
2020년 04월 28일,"50,100 ","49,850 ","50,100 ","49,300 ","15,690,000 ",0.50%
2020년 04월 27일,"49,850 ","49,350 ","50,000 ","49,100 ","13,740,000 ",1.01%
2020년 04월 24일,"49,350 ","49,650 ","49,750 ","49,000 ","15,560,000 ",-1.00%
2020년 04월 23일,"49,850 ","50,200 ","50,300 ","49,500 ","17,930,000 ",0.00%
2020년 04월 22일,"49,850 ","48,700 ","50,000 ","48,350 ","18,540,000 ",1.22%
2020년 04월 21일,"49,250 ","49,400 ","49,700 ","48,700 ","26,890,000 ",-1.70%
2020년 04월 20일,"50,100 ","51,400 ","51,400 ","50,000 ","21,580,000 ",-2.53%
2020년 04월 17일,"51,400 ","50,800 ","52,000 ","50,300 ","31,740,000 ",4.90%
2020년 04월 16일,"49,000 ","49,350 ","49,350 ","48,550 ","22,570,000 ",0.00%
2020년 04월 14일,"49,000 ","48,800 ","49,200 ","48,300 ","14,100,000 ",1.45%
2020년 04월 13일,"48,300 ","48,650 ","48,900 ","48,300 ","14,380,000 ",-1.93%
2020년 04월 10일,"49,250 ","48,950 ","49,250 ","48,650 ","17,790,000 ",0.31%
2020년 04월 09일,"49,100 ","49,750 ","49,800 ","48,700 ","22,470,000 ",1.03%
2020년 04월 08일,"48,600 ","49,600 ","49,750 ","48,600 ","24,870,000 ",-2.02%
2020년 04월 07일,"49,600 ","49,650 ","50,200 ","49,000 ","31,240,000 ",1.85%
2020년 04월 06일,"48,700 ","47,500 ","48,800 ","47,250 ","23,090,000 ",3.62%
2020년 04월 03일,"47,000 ","47,400 ","47,600 ","46,550 ","22,460,000 ",0.43%
2020년 04월 02일,"46,800 ","46,200 ","46,850 ","45,350 ","21,410,000 ",2.18%
2020년 04월 01일,"45,800 ","47,450 ","47,900 ","45,800 ","27,080,000 ",-4.08%
2020년 03월 31일,"47,750 ","48,000 ","48,500 ","47,150 ","30,480,000 ",-0.21%
2020년 03월 30일,"47,850 ","47,050 ","48,350 ","46,550 ","26,670,000 ",-0.93%
2020년 03월 27일,"48,300 ","49,600 ","49,700 ","46,850 ","39,730,000 ",1.05%
2020년 03월 26일,"47,800 ","48,950 ","49,300 ","47,750 ","339,000 ",-1.75%
2020년 03월 25일,"48,650 ","48,950 ","49,600 ","47,150 ","4,501,000 ",3.62%
2020년 03월 24일,"46,950 ","43,800 ","46,950 ","43,100 ","89,000 ",10.47%
2020년 03월 23일,"42,500 ","42,600 ","43,550 ","42,400 ","2,915,000 ",-6.39%
2020년 03월 20일,"45,400 ","44,150 ","45,500 ","43,550 ","49,160,000 ",5.70%
2020년 03월 19일,"42,950 ","46,500 ","46,600 ","42,300 ","64,000 ",-5.81%
2020년 03월 18일,"45,600 ","47,750 ","48,350 ","45,600 ","38,150,000 ",-3.59%
2020년 03월 17일,"47,300 ","46,900 ","49,650 ","46,700 ","50,590,000 ",-3.27%
2020년 03월 16일,"48,900 ","50,100 ","50,900 ","48,800 ","33,060,000 ",-2.10%
2020년 03월 13일,"49,950 ","47,450 ","51,600 ","46,850 ","58,330,000 ",-1.67%
2020년 03월 12일,"50,800 ","51,000 ","51,900 ","49,300 ","47,900,000 ",-2.50%
2020년 03월 11일,"52,100 ","54,300 ","54,400 ","52,000 ","37,830,000 ",-4.58%
2020년 03월 10일,"54,600 ","53,800 ","54,900 ","53,700 ","31,330,000 ",0.74%
2020년 03월 09일,"54,200 ","54,700 ","55,000 ","53,600 ","30,010,000 ",-4.07%
2020년 03월 06일,"56,500 ","56,500 ","57,200 ","56,200 ","18,590,000 ",-2.25%
2020년 03월 05일,"57,800 ","57,600 ","58,000 ","56,700 ","21,660,000 ",0.70%
2020년 03월 04일,"57,400 ","54,800 ","57,600 ","54,600 ","24,320,000 ",3.61%
2020년 03월 03일,"55,400 ","56,700 ","56,900 ","55,100 ","29,810,000 ",0.73%
2020년 03월 02일,"55,000 ","54,300 ","55,500 ","53,600 ","29,210,000 ",1.48%
2020년 02월 28일,"54,200 ","55,000 ","55,500 ","54,200 ","29,910,000 ",-3.04%
2020년 02월 27일,"55,900 ","56,300 ","56,900 ","55,500 ","22,360,000 ",-1.06%
2020년 02월 26일,"56,500 ","56,000 ","57,000 ","56,000 ","25,380,000 ",-2.42%
2020년 02월 25일,"57,900 ","56,200 ","58,000 ","56,200 ","23,070,000 ",1.94%
2020년 02월 24일,"56,800 ","57,400 ","58,100 ","56,800 ","25,360,000 ",-4.05%
2020년 02월 21일,"59,200 ","58,800 ","59,800 ","58,500 ","13,280,000 ",-1.33%
2020년 02월 20일,"60,000 ","60,700 ","61,300 ","59,600 ","14,510,000 ",-0.33%
2020년 02월 19일,"60,200 ","59,800 ","60,400 ","59,400 ","12,940,000 ",0.67%
2020년 02월 18일,"59,800 ","60,800 ","60,900 ","59,700 ","16,630,000 ",-2.76%
2020년 02월 17일,"61,500 ","61,600 ","62,000 ","61,200 ","8,490,000 ",-0.49%
2020년 02월 14일,"61,800 ","60,900 ","61,900 ","60,200 ","13,260,000 ",1.81%
2020년 02월 13일,"60,700 ","61,200 ","61,600 ","60,500 ","18,340,000 ",0.33%
2020년 02월 12일,"60,500 ","60,300 ","60,700 ","59,700 ","12,730,000 ",1.00%
2020년 02월 11일,"59,900 ","59,800 ","60,700 ","59,700 ","10,950,000 ",0.34%
2020년 02월 10일,"59,700 ","59,200 ","59,800 ","59,100 ","12,690,000 ",-1.16%
2020년 02월 07일,"60,400 ","61,100 ","61,200 ","59,700 ","16,270,000 ",-1.15%
2020년 02월 06일,"61,100 ","60,100 ","61,100 ","59,700 ","14,680,000 ",2.69%
2020년 02월 05일,"59,500 ","60,000 ","60,200 ","58,900 ","18,190,000 ",1.02%
2020년 02월 04일,"58,900 ","57,100 ","59,000 ","56,800 ","21,100,000 ",2.97%
2020년 02월 03일,"57,200 ","55,500 ","57,400 ","55,200 ","22,910,000 ",1.42%
2020년 01월 31일,"56,400 ","57,800 ","58,400 ","56,400 ","19,490,000 ",-1.40%
2020년 01월 30일,"57,200 ","58,800 ","58,800 ","56,800 ","20,720,000 ",-3.21%
2020년 01월 29일,"59,100 ","59,100 ","59,700 ","58,800 ","16,260,000 ",0.51%
2020년 01월 28일,"58,800 ","59,400 ","59,400 ","58,300 ","22,630,000 ",-3.29%
2020년 01월 23일,"60,800 ","61,800 ","61,800 ","60,700 ","14,880,000 ",-2.41%
2020년 01월 22일,"62,300 ","60,500 ","62,600 ","60,400 ","15,050,000 ",1.47%
2020년 01월 21일,"61,400 ","62,000 ","62,400 ","61,200 ","11,110,000 ",-1.60%
2020년 01월 20일,"62,400 ","62,000 ","62,800 ","61,700 ","12,460,000 ",1.79%
2020년 01월 17일,"61,300 ","61,900 ","62,000 ","61,000 ","15,450,000 ",0.99%
2020년 01월 16일,"60,700 ","59,100 ","60,700 ","59,000 ","13,560,000 ",2.88%
2020년 01월 15일,"59,000 ","59,500 ","59,600 ","58,900 ","13,720,000 ",-1.67%
2020년 01월 14일,"60,000 ","60,400 ","61,000 ","59,900 ","16,080,000 ",0.00%
2020년 01월 13일,"60,000 ","59,600 ","60,000 ","59,100 ","11,260,000 ",0.84%
2020년 01월 10일,"59,500 ","58,800 ","59,700 ","58,300 ","15,830,000 ",1.54%
2020년 01월 09일,"58,600 ","58,400 ","58,600 ","57,400 ","23,230,000 ",3.17%
2020년 01월 08일,"56,800 ","56,200 ","57,400 ","55,900 ","23,330,000 ",1.79%
2020년 01월 07일,"55,800 ","55,700 ","56,400 ","55,600 ","9,890,000 ",0.54%
2020년 01월 06일,"55,500 ","54,900 ","55,600 ","54,600 ","10,240,000 ",0.00%
2020년 01월 03일,"55,500 ","56,000 ","56,600 ","54,900 ","15,310,000 ",0.54%
2020년 01월 02일,"55,200 ","55,500 ","56,000 ","55,000 ","12,760,000 ",-1.08%
2019년 12월 30일,"55,800 ","56,200 ","56,600 ","55,700 ","8,350,000 ",-1.24%
2019년 12월 27일,"56,500 ","55,700 ","56,900 ","55,500 ","12,290,000 ",1.99%
2019년 12월 26일,"55,400 ","54,700 ","55,400 ","54,400 ","9,570,000 ",0.73%
2019년 12월 24일,"55,000 ","55,600 ","55,700 ","54,800 ","9,190,000 ",-0.90%
2019년 12월 23일,"55,500 ","56,100 ","56,400 ","55,100 ","9,490,000 ",-0.89%
2019년 12월 20일,"56,000 ","56,100 ","56,500 ","55,600 ","12,070,000 ",0.00%
2019년 12월 19일,"56,000 ","57,000 ","57,300 ","55,500 ","13,950,000 ",-0.53%
2019년 12월 18일,"56,300 ","56,700 ","57,200 ","56,000 ","15,490,000 ",-0.71%
2019년 12월 17일,"56,700 ","55,800 ","56,700 ","55,400 ","18,750,000 ",3.66%
2019년 12월 16일,"54,700 ","54,500 ","54,900 ","54,300 ","11,100,000 ",0.00%
2019년 12월 13일,"54,700 ","54,500 ","54,800 ","53,900 ","17,590,000 ",2.63%
2019년 12월 12일,"53,300 ","53,000 ","53,300 ","52,700 ","28,450,000 ",2.70%
2019년 12월 11일,"51,900 ","51,500 ","52,200 ","51,400 ","11,000,000 ",0.78%
2019년 12월 10일,"51,500 ","51,000 ","51,600 ","50,700 ","6,870,000 ",0.59%
2019년 12월 09일,"51,200 ","50,900 ","51,400 ","50,700 ","8,270,000 ",1.59%
2019년 12월 06일,"50,400 ","50,100 ","50,900 ","49,950 ","10,870,000 ",1.82%
2019년 12월 05일,"49,500 ","50,200 ","50,400 ","49,500 ","10,020,000 ",0.10%
2019년 12월 04일,"49,450 ","49,600 ","49,850 ","49,000 ","12,960,000 ",-0.90%
2019년 12월 03일,"49,900 ","49,800 ","50,300 ","49,500 ","12,000,000 ",-0.99%
2019년 12월 02일,"50,400 ","50,900 ","51,300 ","50,400 ","9,590,000 ",0.20%
2019년 11월 29일,"50,300 ","51,200 ","51,400 ","50,200 ","11,010,000 ",-1.95%
2019년 11월 28일,"51,300 ","51,900 ","52,100 ","51,300 ","6,150,000 ",-1.72%
2019년 11월 27일,"52,200 ","51,800 ","52,300 ","51,600 ","7,190,000 ",0.77%
2019년 11월 26일,"51,800 ","51,900 ","52,900 ","51,800 ","26,040,000 ",0.00%
2019년 11월 25일,"51,800 ","52,200 ","52,600 ","51,700 ","9,010,000 ",0.39%
2019년 11월 22일,"51,600 ","51,000 ","51,600 ","50,900 ","8,330,000 ",1.18%
